Sample	Target.Peptide	Glycoform	Monoisotopic.Mass	Number.of.Charge.States	RT.Range	Sum.Intensity	Rel.Abundance_ann
Output_software_@IgG	IgG	NA	2748.07857663	2	8.025-9.581	10439.21	NA
Output_software_@IgG	IgG	NA	2751.08587663	1	8.025-9.581	9495.04	NA
Output_software_@IgG	IgG	NA	2752.01707663	1	8.025-9.581	2530.9	NA
Output_software_@IgG	IgG	NA	2758.05927663	1	8.025-9.581	5692.72	NA
Output_software_@IgG	IgG	H3N4XF@GnGnXF	2766.09117663	2	8.025-9.581	749404.2	5.10781545611714
Output_software_@IgG	IgG	NA	2770.92717663	1	8.025-9.581	2220.1	NA
Output_software_@IgG	IgG	NA	2773.08507663	1	8.025-9.581	14273.24	NA
Output_software_@IgG	IgG	NA	2779.08997663	1	8.025-9.581	16633.69	NA
Output_software_@IgG	IgG	H4H4X@AGnX_	2782.08447663	2	8.025-9.581	451958.58	3.08047515672951
Output_software_@IgG	IgG	NA	2788.07537663	3	8.025-9.581	66637.1	NA
Output_software_@IgG	IgG	NA	2793.09657663	1	8.025-9.581	11438.75	NA
Output_software_@IgG	IgG	NA	2797.09437663	2	8.025-9.581	60218.64	NA
Output_software_@IgG	IgG	NA	2804.04797663	3	8.025-9.581	94584.88	NA
Output_software_@IgG	IgG	NA	2810.04757663	1	8.025-9.581	6770.48	NA
Output_software_@IgG	IgG	NA	2813.09027663	2	8.025-9.581	42118.69	NA
Output_software_@IgG	IgG	NA	2816.09237663	1	8.025-9.581	10648.02	NA
Output_software_@IgG	IgG	NA	2820.02497663	3	8.025-9.581	51925.46	NA
Output_software_@IgG	IgG	NA	2826.03017663	1	8.025-9.581	5249.49	NA
Output_software_@IgG	IgG	NA	2826.07997663	1	8.025-9.581	13289.27	NA
Output_software_@IgG	IgG	NA	2829.07987663	1	8.025-9.581	13006.95	NA
Output_software_@IgG	IgG	NA	2830.05537663	1	8.025-9.581	889.16	NA
Output_software_@IgG	IgG	NA	2832.09277663	1	8.025-9.581	14937.69	NA
Output_software_@IgG	IgG	NA	2834.99897663	1	8.025-9.581	7614.34	NA
Output_software_@IgG	IgG	NA	2835.10727663	1	8.025-9.581	9402.31	NA
Output_software_@IgG	IgG	NA	2838.09867663	1	8.025-9.581	13151.81	NA
Output_software_@IgG	IgG	NA	2841.11577663	1	8.025-9.581	3232.1	NA
Output_software_@IgG	IgG	NA	2842.00197663	1	8.025-9.581	1259.28	NA
Output_software_@IgG	IgG	NA	2843.08517663	1	8.025-9.581	9121.09	NA
Output_software_@IgG	IgG	NA	2846.11077663	1	8.025-9.581	10762.15	NA
Output_software_@IgG	IgG	NA	2849.00837663	1	8.025-9.581	1225.09	NA
Output_software_@IgG	IgG	NA	2850.10457663	1	8.025-9.581	9101.7	NA
Output_software_@IgG	IgG	NA	2854.11797663	1	8.025-9.581	7957.75	NA
Output_software_@IgG	IgG	NA	2855.13387663	1	8.025-9.581	970.46	NA
Output_software_@IgG	IgG	NA	2860.12827663	1	8.025-9.581	6299.26	NA
Output_software_@IgG	IgG	NA	2863.12717663	1	8.025-9.581	8529.51	NA
Output_software_@IgG	IgG	NA	2866.12367663	1	8.025-9.581	6420.17	NA
Output_software_@IgG	IgG	NA	2870.11767663	1	8.025-9.581	6324.22	NA
Output_software_@IgG	IgG	NA	2875.12797663	1	8.025-9.581	6996.61	NA
Output_software_@IgG	IgG	NA	2878.13147663	1	8.025-9.581	9153.37	NA
Output_software_@IgG	IgG	NA	2883.11687663	1	8.025-9.581	4521.94	NA
Output_software_@IgG	IgG	NA	2887.11467663	2	8.025-9.581	11021.63	NA
Output_software_@IgG	IgG	H8N2@Man8_	2892.09967663	2	8.025-9.581	112489.45	0.76670954254075
Output_software_@IgG	IgG	NA	2898.13287663	1	8.025-9.581	5127.81	NA
Output_software_@IgG	IgG	NA	2901.12167663	1	8.025-9.581	2636.35	NA
Output_software_@IgG	IgG	NA	2903.11307663	2	8.025-9.581	17147.26	NA
Output_software_@IgG	IgG	NA	2907.12367663	1	8.025-9.581	2485.71	NA
Output_software_@IgG	IgG	NA	2908.12027663	1	8.025-9.581	4668.33	NA
Output_software_@IgG	IgG	NA	2911.13207663	1	8.025-9.581	3747.58	NA
Output_software_@IgG	IgG	NA	2914.10147663	2	8.025-9.581	10518.43	NA
Output_software_@IgG	IgG	NA	2919.10727663	1	8.025-9.581	4378.03	NA
Output_software_@IgG	IgG	NA	2923.11417663	1	8.025-9.581	3824.63	NA
Output_software_@IgG	IgG	H4H4XF@AGnXF	2928.14887663	1	8.025-9.581	10081.54	0.0687141142703273
Output_software_@IgG	IgG	NA	2930.02847663	1	8.025-9.581	2981.16	NA
Output_software_@IgG	IgG	NA	2931.11907663	1	8.025-9.581	4065.12	NA
Output_software_@IgG	IgG	NA	2935.11667663	1	8.025-9.581	3719.69	NA
Output_software_@IgG	IgG	NA	2942.13297663	1	8.025-9.581	2003.81	NA
Output_software_@IgG	IgG	H5N4X@AAX_	2944.14627663	1	8.025-9.581	8180.16	0.0557546217135042
Output_software_@IgG	IgG	NA	2946.00697663	1	8.025-9.581	1430.28	NA
Output_software_@IgG	IgG	NA	2950.11067663	1	8.025-9.581	3424.61	NA
Output_software_@IgG	IgG	H5N4F@AAF_	2958.15607663	1	8.025-9.581	2650.71	0.0180668022779753
Output_software_@IgG	IgG	NA	2964.15627663	1	8.025-9.581	1604.43	NA
Output_software_@IgG	IgG	NA	2967.12447663	1	8.025-9.581	2683.29	NA
Output_software_@IgG	IgG	H6N4@AMan5(bi)	2974.13847663	1	8.025-9.581	2051.19	0.0139805728142876
Output_software_@IgG	IgG	NA	2990.07027663	1	8.025-9.581	2515.68	NA
Output_software_@IgG	IgG	NA	2994.14057663	1	8.025-9.581	1538.51	NA
Output_software_@IgG	IgG	NA	3006.02197663	1	8.025-9.581	3076.61	NA
Output_software_@IgG	IgG	NA	3051.16697663	1	8.025-9.581	2731.73	NA
Output_software_@IgG	IgG	H9N2@Man9	3054.15057663	2	8.025-9.581	95153.44	0.648550156957641
Output_software_@IgG	IgG	NA	3070.15647663	1	8.025-9.581	3680.92	NA
Output_software_@IgG	IgG	NA	3076.13937663	1	8.025-9.581	6516.56	NA
Output_software_@IgG	IgG	NA	3086.14917663	1	8.025-9.581	5672.5	NA
Output_software_@IgG	IgG	NA	3092.10847663	2	8.025-9.581	6909.36	NA
Output_software_@IgG	IgG	NA	3098.13717663	1	8.025-9.581	3140.86	NA
Output_software_@IgG	IgG	NA	3107.06407663	1	8.025-9.581	1201.7	NA
Output_software_@IgG	IgG	H10N2@Man9+1xHex	3216.20587663	2	8.025-9.581	15660.58	0.10673993096884
Output_software_@IgG	IgG	NA	4832.87897663	1	8.025-9.581	15036.04	NA
Output_software_@IgG	IgG	NA	4903.92717663	1	8.025-9.581	18684.42	NA
Output_software_@IgG	IgG	NA	4974.94877663	1	8.025-9.581	7896.6	NA
Output_software_@IgG	IgG	NA	5024.95297663	1	8.025-9.581	7362.76	NA
Output_software_@IgG	IgG	NA	5034.92447663	1	8.025-9.581	10606.96	NA
Output_software_@IgG	IgG	NA	5035.96287663	1	8.025-9.581	43304.08	NA
Output_software_@IgG	IgG	NA	5057.93427663	1	8.025-9.581	5879.91	NA
Output_software_@IgG	IgG	NA	5065.95297663	1	8.025-9.581	6030.37	NA
Output_software_@IgG	IgG	NA	5073.90987663	1	8.025-9.581	3554.07	NA
Output_software_@IgG	IgG	NA	5106.98717663	2	8.025-9.581	24587.31	NA
Output_software_@IgG	IgG	NA	5239.04197663	1	8.025-9.581	66952.03	NA
Output_software_@IgG	IgG	NA	5254.00967663	1	8.025-9.581	2059.44	NA
Output_software_@IgG	IgG	NA	5261.00537663	1	8.025-9.581	11191.28	NA
Output_software_@IgG	IgG	NA	5270.02677663	1	8.025-9.581	3710.86	NA
Output_software_@IgG	IgG	NA	5276.99917663	1	8.025-9.581	9516.05	NA
Output_software_@IgG	IgG	NA	5282.99767663	1	8.025-9.581	3568.84	NA
Output_software_@IgG	IgG	NA	5531.16127663	1	8.025-9.581	2784.2	NA
Output_software_@IgG	IgG	NA	5547.15327663	1	8.025-9.581	2550.54	NA
Outputfile_@IgM_site4	IgM_site4	NA	590.30367663	1	16.423-20.662	66986.67	NA
Outputfile_@IgM_site4	IgM_site4	NA	598.35447663	1	16.423-20.662	47102.73	NA
Outputfile_@IgM_site4	IgM_site4	NA	605.78697663	1	16.423-20.662	3431.84	NA
Outputfile_@IgM_site4	IgM_site4	NA	625.31767663	1	16.423-20.662	9444.23	NA
Outputfile_@IgM_site4	IgM_site4	NA	649.28137663	1	16.423-20.662	38144.21	NA
Outputfile_@IgM_site4	IgM_site4	NA	656.43317663	1	16.423-20.662	32777.87	NA
Outputfile_@IgM_site4	IgM_site4	NA	667.29197663	1	16.423-20.662	71100.35	NA
Outputfile_@IgM_site4	IgM_site4	NA	678.38187663	1	16.423-20.662	11923.26	NA
Outputfile_@IgM_site4	IgM_site4	NA	681.30927663	1	16.423-20.662	9419.68	NA
Outputfile_@IgM_site4	IgM_site4	NA	685.38837663	1	16.423-20.662	12858.27	NA
Outputfile_@IgM_site4	IgM_site4	NA	689.31047663	1	16.423-20.662	22643.59	NA
Outputfile_@IgM_site4	IgM_site4	NA	696.35647663	1	16.423-20.662	15870.72	NA
Outputfile_@IgM_site4	IgM_site4	NA	714.30447663	1	16.423-20.662	5090.27	NA
Outputfile_@IgM_site4	IgM_site4	NA	758.43047663	1	16.423-20.662	378495.89	NA
Outputfile_@IgM_site4	IgM_site4	NA	772.33447663	1	16.423-20.662	2341942	NA
Outputfile_@IgM_site4	IgM_site4	NA	773.41067663	1	16.423-20.662	47042.46	NA
Outputfile_@IgM_site4	IgM_site4	NA	773.84717663	1	16.423-20.662	9679.69	NA
Outputfile_@IgM_site4	IgM_site4	NA	781.37367663	1	16.423-20.662	78997.16	NA
Outputfile_@IgM_site4	IgM_site4	NA	787.32087663	1	16.423-20.662	8560.44	NA
Outputfile_@IgM_site4	IgM_site4	NA	788.45247663	1	16.423-20.662	49233.67	NA
Outputfile_@IgM_site4	IgM_site4	NA	791.45077663	1	16.423-20.662	36674.37	NA
Outputfile_@IgM_site4	IgM_site4	NA	794.31377663	1	16.423-20.662	68985.12	NA
Outputfile_@IgM_site4	IgM_site4	NA	795.23957663	1	16.423-20.662	10743.6	NA
Outputfile_@IgM_site4	IgM_site4	NA	802.34097663	1	16.423-20.662	39214.86	NA
Outputfile_@IgM_site4	IgM_site4	NA	804.32357663	1	16.423-20.662	20832.43	NA
Outputfile_@IgM_site4	IgM_site4	NA	807.39997663	1	16.423-20.662	123379.04	NA
Outputfile_@IgM_site4	IgM_site4	NA	810.28087663	1	16.423-20.662	32523.58	NA
Outputfile_@IgM_site4	IgM_site4	NA	811.86167663	1	16.423-20.662	78298.43	NA
Outputfile_@IgM_site4	IgM_site4	NA	813.38017663	1	16.423-20.662	31161.16	NA
Outputfile_@IgM_site4	IgM_site4	NA	817.31227663	1	16.423-20.662	14460.94	NA
Outputfile_@IgM_site4	IgM_site4	NA	832.30307663	1	16.423-20.662	76601.32	NA
Outputfile_@IgM_site4	IgM_site4	NA	832.43947663	1	16.423-20.662	10131.44	NA
Outputfile_@IgM_site4	IgM_site4	NA	845.40057663	1	16.423-20.662	35816.38	NA
Outputfile_@IgM_site4	IgM_site4	NA	847.42647663	1	16.423-20.662	8918.11	NA
Outputfile_@IgM_site4	IgM_site4	NA	862.01117663	1	16.423-20.662	8237.27	NA
Outputfile_@IgM_site4	IgM_site4	NA	866.46067663	1	16.423-20.662	36020.82	NA
Outputfile_@IgM_site4	IgM_site4	NA	891.40467663	1	16.423-20.662	79194.76	NA
Outputfile_@IgM_site4	IgM_site4	NA	891.71697663	1	16.423-20.662	23512.91	NA
Outputfile_@IgM_site4	IgM_site4	NA	892.49947663	1	16.423-20.662	19997.69	NA
Outputfile_@IgM_site4	IgM_site4	NA	913.41587663	1	16.423-20.662	56836.27	NA
Outputfile_@IgM_site4	IgM_site4	NA	962.49317663	1	16.423-20.662	7190.78	NA
Outputfile_@IgM_site4	IgM_site4	NA	991.56757663	1	16.423-20.662	96695.81	NA
Outputfile_@IgM_site4	IgM_site4	NA	992.69117663	1	16.423-20.662	13255.75	NA
Outputfile_@IgM_site4	IgM_site4	NA	994.02417663	1	16.423-20.662	28146.46	NA
Outputfile_@IgM_site4	IgM_site4	NA	996.02807663	1	16.423-20.662	23361.45	NA
Outputfile_@IgM_site4	IgM_site4	NA	996.35967663	1	16.423-20.662	8443.28	NA
Outputfile_@IgM_site4	IgM_site4	NA	996.69377663	1	16.423-20.662	8537.98	NA
Outputfile_@IgM_site4	IgM_site4	NA	1012.48447663	1	16.423-20.662	43214.67	NA
Outputfile_@IgM_site4	IgM_site4	NA	1014.35337663	1	16.423-20.662	5825.3	NA
Outputfile_@IgM_site4	IgM_site4	NA	1020.40067663	1	16.423-20.662	108541.71	NA
Outputfile_@IgM_site4	IgM_site4	NA	1023.47527663	1	16.423-20.662	3029.41	NA
Outputfile_@IgM_site4	IgM_site4	NA	1033.47867663	1	16.423-20.662	45118.34	NA
Outputfile_@IgM_site4	IgM_site4	NA	1035.58467663	1	16.423-20.662	3149.63	NA
Outputfile_@IgM_site4	IgM_site4	NA	1066.42677663	1	16.423-20.662	5121.79	NA
Outputfile_@IgM_site4	IgM_site4	NA	1072.52587663	1	16.423-20.662	284794.74	NA
Outputfile_@IgM_site4	IgM_site4	NA	1079.48297663	1	16.423-20.662	37501.46	NA
Outputfile_@IgM_site4	IgM_site4	NA	1106.48577663	1	16.423-20.662	14775.3	NA
Outputfile_@IgM_site4	IgM_site4	NA	1135.77027663	1	16.423-20.662	55549.8	NA
Outputfile_@IgM_site4	IgM_site4	NA	1136.10257663	1	16.423-20.662	33572.49	NA
Outputfile_@IgM_site4	IgM_site4	NA	1152.42237663	1	16.423-20.662	21697.4	NA
Outputfile_@IgM_site4	IgM_site4	NA	1160.62697663	1	16.423-20.662	8115.77	NA
Outputfile_@IgM_site4	IgM_site4	NA	1166.60467663	1	16.423-20.662	20037.06	NA
Outputfile_@IgM_site4	IgM_site4	NA	1168.54587663	1	16.423-20.662	18547.63	NA
Outputfile_@IgM_site4	IgM_site4	NA	1179.48447663	1	16.423-20.662	1755.35	NA
Outputfile_@IgM_site4	IgM_site4	NA	1182.60377663	1	16.423-20.662	4317.27	NA
Outputfile_@IgM_site4	IgM_site4	NA	1188.58377663	1	16.423-20.662	7069.99	NA
Outputfile_@IgM_site4	IgM_site4	NA	1190.52467663	1	16.423-20.662	5003.94	NA
Outputfile_@IgM_site4	IgM_site4	NA	1191.41967663	1	16.423-20.662	5772.39	NA
Outputfile_@IgM_site4	IgM_site4	NA	1191.54997663	1	16.423-20.662	4194.13	NA
Outputfile_@IgM_site4	IgM_site4	NA	1198.54697663	1	16.423-20.662	6545.48	NA
Outputfile_@IgM_site4	IgM_site4	NA	1200.58377663	2	16.423-20.662	292239.29	NA
Outputfile_@IgM_site4	IgM_site4	NA	1205.53837663	1	16.423-20.662	12286.52	NA
Outputfile_@IgM_site4	IgM_site4	NA	1214.53107663	1	16.423-20.662	7890.79	NA
Outputfile_@IgM_site4	IgM_site4	NA	1216.45617663	1	16.423-20.662	3056.36	NA
Outputfile_@IgM_site4	IgM_site4	not-glycosylated	1216.55797663	1	16.423-20.662	2284416.48	7.90463040998787
Outputfile_@IgM_site4	IgM_site4	NA	1221.45837663	1	16.423-20.662	1826.21	NA
Outputfile_@IgM_site4	IgM_site4	NA	1231.54337663	2	16.423-20.662	85059.25	NA
Outputfile_@IgM_site4	IgM_site4	NA	1237.59937663	1	16.423-20.662	89196.41	NA
Outputfile_@IgM_site4	IgM_site4	NA	1238.53667663	1	16.423-20.662	47853.84	NA
Outputfile_@IgM_site4	IgM_site4	NA	1240.51877663	1	16.423-20.662	18981.55	NA
Outputfile_@IgM_site4	IgM_site4	NA	1241.06787663	1	16.423-20.662	19602.87	NA
Outputfile_@IgM_site4	IgM_site4	NA	1241.26707663	1	16.423-20.662	22647.77	NA
Outputfile_@IgM_site4	IgM_site4	NA	1241.47297663	1	16.423-20.662	15822.38	NA
Outputfile_@IgM_site4	IgM_site4	NA	1241.67367663	1	16.423-20.662	12360.77	NA
Outputfile_@IgM_site4	IgM_site4	NA	1241.87287663	1	16.423-20.662	8410.4	NA
Outputfile_@IgM_site4	IgM_site4	NA	1244.46567663	1	16.423-20.662	8993.89	NA
Outputfile_@IgM_site4	IgM_site4	NA	1248.54837663	1	16.423-20.662	12325.12	NA
Outputfile_@IgM_site4	IgM_site4	NA	1254.50557663	1	16.423-20.662	68777.01	NA
Outputfile_@IgM_site4	IgM_site4	NA	1254.60187663	1	16.423-20.662	7057.66	NA
Outputfile_@IgM_site4	IgM_site4	NA	1260.52497663	1	16.423-20.662	14936.02	NA
Outputfile_@IgM_site4	IgM_site4	NA	1262.51397663	1	16.423-20.662	5769.05	NA
Outputfile_@IgM_site4	IgM_site4	NA	1266.55767663	1	16.423-20.662	8806.56	NA
Outputfile_@IgM_site4	IgM_site4	NA	1267.66267663	1	16.423-20.662	1456.43	NA
Outputfile_@IgM_site4	IgM_site4	NA	1269.47157663	1	16.423-20.662	30166.52	NA
Outputfile_@IgM_site4	IgM_site4	NA	1271.47777663	1	16.423-20.662	4335.81	NA
Outputfile_@IgM_site4	IgM_site4	NA	1271.62057663	2	16.423-20.662	209365.85	NA
Outputfile_@IgM_site4	IgM_site4	NA	1273.48157663	2	16.423-20.662	11538.01	NA
Outputfile_@IgM_site4	IgM_site4	NA	1276.48477663	1	16.423-20.662	5532.48	NA
Outputfile_@IgM_site4	IgM_site4	NA	1279.54657663	2	16.423-20.662	35269.65	NA
Outputfile_@IgM_site4	IgM_site4	NA	1285.57957663	1	16.423-20.662	146109.04	NA
Outputfile_@IgM_site4	IgM_site4	NA	1290.64137663	1	16.423-20.662	17269.09	NA
Outputfile_@IgM_site4	IgM_site4	NA	1293.63767663	1	16.423-20.662	1713.07	NA
Outputfile_@IgM_site4	IgM_site4	NA	1293.71617663	1	16.423-20.662	4268.25	NA
Outputfile_@IgM_site4	IgM_site4	NA	1301.53037663	1	16.423-20.662	2905.12	NA
Outputfile_@IgM_site4	IgM_site4	NA	1303.65107663	1	16.423-20.662	4050.35	NA
Outputfile_@IgM_site4	IgM_site4	NA	1307.41657663	1	16.423-20.662	2446.36	NA
Outputfile_@IgM_site4	IgM_site4	NA	1307.55807663	1	16.423-20.662	2569.76	NA
Outputfile_@IgM_site4	IgM_site4	NA	1324.52677663	1	16.423-20.662	1537.95	NA
Outputfile_@IgM_site4	IgM_site4	NA	1328.56537663	1	16.423-20.662	1928.11	NA
Outputfile_@IgM_site4	IgM_site4	NA	1338.66557663	1	16.423-20.662	4924.39	NA
Outputfile_@IgM_site4	IgM_site4	NA	1358.54037663	1	16.423-20.662	3644.53	NA
Outputfile_@IgM_site4	IgM_site4	NA	1366.59507663	1	16.423-20.662	4554.62	NA
Outputfile_@IgM_site4	IgM_site4	NA	1390.59797663	1	16.423-20.662	77125.86	NA
Outputfile_@IgM_site4	IgM_site4	NA	1400.66447663	1	16.423-20.662	73078.82	NA
Outputfile_@IgM_site4	IgM_site4	NA	1403.66307663	1	16.423-20.662	10785.58	NA
Outputfile_@IgM_site4	IgM_site4	NA	1408.61557663	1	16.423-20.662	4651.26	NA
Outputfile_@IgM_site4	IgM_site4	NA	1416.65907663	2	16.423-20.662	92667.98	NA
Outputfile_@IgM_site4	IgM_site4	NA	1418.67417663	2	16.423-20.662	16257452.53	NA
Outputfile_@IgM_site4	IgM_site4	NA	1419.17497663	1	16.423-20.662	110679.53	NA
Outputfile_@IgM_site4	IgM_site4	NA	1423.57577663	1	16.423-20.662	1940.8	NA
Outputfile_@IgM_site4	IgM_site4	NA	1428.53787663	1	16.423-20.662	4065.48	NA
Outputfile_@IgM_site4	IgM_site4	NA	1430.16027663	2	16.423-20.662	25863.03	NA
Outputfile_@IgM_site4	IgM_site4	NA	1432.67897663	1	16.423-20.662	7811.8	NA
Outputfile_@IgM_site4	IgM_site4	NA	1439.55607663	1	16.423-20.662	4879.95	NA
Outputfile_@IgM_site4	IgM_site4	NA	1440.65377663	2	16.423-20.662	1571307.55	NA
Outputfile_@IgM_site4	IgM_site4	NA	1444.64487663	1	16.423-20.662	23344.4	NA
Outputfile_@IgM_site4	IgM_site4	NA	1450.66547663	2	16.423-20.662	129422.43	NA
Outputfile_@IgM_site4	IgM_site4	NA	1456.62117663	2	16.423-20.662	962600.63	NA
Outputfile_@IgM_site4	IgM_site4	NA	1462.64217663	1	16.423-20.662	192757.79	NA
Outputfile_@IgM_site4	IgM_site4	NA	1463.73137663	1	16.423-20.662	47588.16	NA
Outputfile_@IgM_site4	IgM_site4	NA	1465.62957663	1	16.423-20.662	15973.5	NA
Outputfile_@IgM_site4	IgM_site4	NA	1471.58527663	1	16.423-20.662	401383.08	NA
Outputfile_@IgM_site4	IgM_site4	NA	1473.59317663	1	16.423-20.662	51875.23	NA
Outputfile_@IgM_site4	IgM_site4	NA	1475.59707663	1	16.423-20.662	51345.21	NA
Outputfile_@IgM_site4	IgM_site4	NA	1475.69357663	1	16.423-20.662	13834.29	NA
Outputfile_@IgM_site4	IgM_site4	NA	1478.59797663	1	16.423-20.662	80353.79	NA
Outputfile_@IgM_site4	IgM_site4	NA	1481.59737663	1	16.423-20.662	21815.66	NA
Outputfile_@IgM_site4	IgM_site4	NA	1483.58497663	1	16.423-20.662	24669.16	NA
Outputfile_@IgM_site4	IgM_site4	NA	1488.60497663	1	16.423-20.662	4030.49	NA
Outputfile_@IgM_site4	IgM_site4	NA	1494.56817663	1	16.423-20.662	58262.34	NA
Outputfile_@IgM_site4	IgM_site4	NA	1500.58207663	1	16.423-20.662	18408.24	NA
Outputfile_@IgM_site4	IgM_site4	NA	1502.59487663	1	16.423-20.662	6080.49	NA
Outputfile_@IgM_site4	IgM_site4	NA	1506.73467663	1	16.423-20.662	44000.34	NA
Outputfile_@IgM_site4	IgM_site4	NA	1508.73727663	1	16.423-20.662	21782.69	NA
Outputfile_@IgM_site4	IgM_site4	NA	1509.53407663	1	16.423-20.662	7339.08	NA
Outputfile_@IgM_site4	IgM_site4	NA	1510.54227663	1	16.423-20.662	22563.33	NA
Outputfile_@IgM_site4	IgM_site4	NA	1515.54947663	1	16.423-20.662	10609.94	NA
Outputfile_@IgM_site4	IgM_site4	NA	1516.55457663	1	16.423-20.662	5739.88	NA
Outputfile_@IgM_site4	IgM_site4	NA	1517.66757663	1	16.423-20.662	19468.65	NA
Outputfile_@IgM_site4	IgM_site4	NA	1538.61717663	1	16.423-20.662	17446.8	NA
Outputfile_@IgM_site4	IgM_site4	NA	1539.60337663	1	16.423-20.662	46445.07	NA
Outputfile_@IgM_site4	IgM_site4	NA	1552.77087663	1	16.423-20.662	2741.8	NA
Outputfile_@IgM_site4	IgM_site4	NA	1555.07637663	1	16.423-20.662	46807.84	NA
Outputfile_@IgM_site4	IgM_site4	NA	1566.68547663	1	16.423-20.662	17784.36	NA
Outputfile_@IgM_site4	IgM_site4	NA	1594.77047663	1	16.423-20.662	124487.15	NA
Outputfile_@IgM_site4	IgM_site4	NA	1597.09297663	1	16.423-20.662	8821.68	NA
Outputfile_@IgM_site4	IgM_site4	NA	1597.58907663	1	16.423-20.662	9555.46	NA
Outputfile_@IgM_site4	IgM_site4	NA	1606.59807663	1	16.423-20.662	8650.19	NA
Outputfile_@IgM_site4	IgM_site4	NA	1608.07317663	1	16.423-20.662	7325.22	NA
Outputfile_@IgM_site4	IgM_site4	NA	1617.81227663	2	16.423-20.662	1018749.95	NA
Outputfile_@IgM_site4	IgM_site4	NA	1639.79247663	1	16.423-20.662	25166.66	NA
Outputfile_@IgM_site4	IgM_site4	NA	1657.80177663	1	16.423-20.662	38387.53	NA
Outputfile_@IgM_site4	IgM_site4	NA	1662.55447663	1	16.423-20.662	29370.27	NA
Outputfile_@IgM_site4	IgM_site4	NA	1670.72737663	1	16.423-20.662	6978.99	NA
Outputfile_@IgM_site4	IgM_site4	NA	1784.76727663	1	16.423-20.662	58821.24	NA
Outputfile_@IgM_site4	IgM_site4	NA	1853.80557663	2	16.423-20.662	54988.62	NA
Outputfile_@IgM_site4	IgM_site4	NA	1958.88137663	1	16.423-20.662	33036.96	NA
Outputfile_@IgM_site4	IgM_site4	H3N2@MM_	2108.87247663	2	16.423-20.662	160331.35	0.554785029778987
Outputfile_@IgM_site4	IgM_site4	NA	2120.93427663	1	16.423-20.662	78696.87	NA
Outputfile_@IgM_site4	IgM_site4	NA	2158.88147663	1	16.423-20.662	3774.76	NA
Outputfile_@IgM_site4	IgM_site4	H4N2@Man4	2270.92557663	2	16.423-20.662	425848.67	1.4735388123863
Outputfile_@IgM_site4	IgM_site4	NA	2282.98687663	1	16.423-20.662	44615.5	NA
Outputfile_@IgM_site4	IgM_site4	NA	2292.89587663	1	16.423-20.662	7863.65	NA
Outputfile_@IgM_site4	IgM_site4	NA	2323.84187663	1	16.423-20.662	4098.26	NA
Outputfile_@IgM_site4	IgM_site4	NA	2324.01347663	2	16.423-20.662	420609.04	NA
Outputfile_@IgM_site4	IgM_site4	NA	2345.99197663	2	16.423-20.662	33445.78	NA
Outputfile_@IgM_site4	IgM_site4	NA	2356.00247663	1	16.423-20.662	6393.29	NA
Outputfile_@IgM_site4	IgM_site4	NA	2361.96157663	3	16.423-20.662	33562.22	NA
Outputfile_@IgM_site4	IgM_site4	NA	2367.97257663	1	16.423-20.662	4103.17	NA
Outputfile_@IgM_site4	IgM_site4	NA	2376.92627663	2	16.423-20.662	16431.86	NA
Outputfile_@IgM_site4	IgM_site4	H5N2@Man5	2432.97947663	2	16.423-20.662	1185835.09	4.10327459800356
Outputfile_@IgM_site4	IgM_site4	NA	2445.04077663	1	16.423-20.662	29070.59	NA
Outputfile_@IgM_site4	IgM_site4	NA	2454.95407663	2	16.423-20.662	68888.3	NA
Outputfile_@IgM_site4	IgM_site4	NA	2470.07087663	1	16.423-20.662	10538.01	NA
Outputfile_@IgM_site4	IgM_site4	NA	2470.92687663	2	16.423-20.662	98859.78	NA
Outputfile_@IgM_site4	IgM_site4	NA	2485.90227663	2	16.423-20.662	44412.26	NA
Outputfile_@IgM_site4	IgM_site4	NA	2486.06467663	2	16.423-20.662	317830.8	NA
Outputfile_@IgM_site4	IgM_site4	NA	2508.03957663	2	16.423-20.662	29416.72	NA
Outputfile_@IgM_site4	IgM_site4	NA	2518.04407663	1	16.423-20.662	5790.59	NA
Outputfile_@IgM_site4	IgM_site4	NA	2524.01247663	1	16.423-20.662	11959.7	NA
Outputfile_@IgM_site4	IgM_site4	NA	2527.09347663	2	16.423-20.662	580803.28	NA
Outputfile_@IgM_site4	IgM_site4	NA	2538.97587663	1	16.423-20.662	9393.11	NA
Outputfile_@IgM_site4	IgM_site4	NA	2549.06217663	1	16.423-20.662	3613.53	NA
Outputfile_@IgM_site4	IgM_site4	NA	2549.07677663	1	16.423-20.662	25323.41	NA
Outputfile_@IgM_site4	IgM_site4	NA	2559.08267663	1	16.423-20.662	7877.83	NA
Outputfile_@IgM_site4	IgM_site4	NA	2565.04087663	3	16.423-20.662	52072.01	NA
Outputfile_@IgM_site4	IgM_site4	NA	2580.00687663	1	16.423-20.662	6830.91	NA
Outputfile_@IgM_site4	IgM_site4	H6N2@Man6	2595.03157663	2	16.423-20.662	2009873.88	6.95464698805198
Outputfile_@IgM_site4	IgM_site4	NA	2617.00837663	2	16.423-20.662	119128.84	NA
Outputfile_@IgM_site4	IgM_site4	NA	2627.02447663	1	16.423-20.662	8297.25	NA
Outputfile_@IgM_site4	IgM_site4	NA	2632.97937663	3	16.423-20.662	168983.88	NA
